"symbol","gene_id","log2FoldChange","padj","baseMean","regulacion"
"LOC105371401","ENSG00000261327.6",5.304,"1.42e-09",6.54,"Up"
"B3GNT6","ENSG00000198488.10",5.294,"1.36e-06",62.26,"Up"
"ARSH","ENSG00000205667.3",5.206,"5.34e-08",4.03,"Up"
"LYPD1","ENSG00000150551.11",5.189,"2.01e-14",30.39,"Up"
"CHAT","ENSG00000070748.19",5.188,"1.35e-03",3.99,"Up"
"TNS4","ENSG00000131746.13",5.175,"2.30e-12",162.24,"Up"
"NALF2","ENSG00000130054.5",5.171,"9.63e-11",14.1,"Up"
"LINC02994","ENSG00000250546.7",5.168,"3.23e-03",3.19,"Up"
"NTS","ENSG00000133636.11",5.154,"1.60e-05",262.86,"Up"
"XDH","ENSG00000158125.10",5.153,"4.29e-12",218.75,"Up"
"LINC03046","ENSG00000224817.3",5.148,"3.62e-02",4.8,"Up"
"UCN2","ENSG00000145040.4",5.145,"4.33e-04",3.88,"Up"
"RHOV","ENSG00000104140.7",5.143,"6.85e-18",104.78,"Up"
"IGLV9-49","ENSG00000223350.2",5.14,"6.67e-12",50.35,"Up"
"MMP3","ENSG00000149968.12",5.134,"1.09e-05",29.42,"Up"
"COX6B2","ENSG00000160471.13",5.131,"2.05e-05",7.12,"Up"
"PPP1R14D","ENSG00000166143.10",5.127,"2.34e-08",19.36,"Up"
"BARX2","ENSG00000043039.7",5.104,"2.54e-19",36.87,"Up"
"C4orf54","ENSG00000248713.2",5.099,"9.18e-04",12.52,"Up"
"KLK6","ENSG00000167755.15",5.092,"8.42e-07",13.3,"Up"
"GABRQ","ENSG00000268089.3",5.091,"5.14e-05",10.79,"Up"
"XAGE1A","ENSG00000204379.11",5.081,"1.19e-10",206.81,"Up"
"LINC01980","ENSG00000225548.8",5.079,"9.59e-03",5.6,"Up"
"DPP10-AS1","ENSG00000235026.9",5.063,"3.32e-05",6.8,"Up"
"FAR2P1","ENSG00000286058.3",5.059,"5.75e-04",4.49,"Up"
"MUC13","ENSG00000173702.7",5.029,"3.91e-08",21.41,"Up"
"CACNA1B","ENSG00000148408.15",5.027,"1.74e-04",10.03,"Up"
"WDR87","ENSG00000171804.11",5.013,"8.24e-03",8.02,"Up"
"LOC105376944","ENSG00000189229.13",5.012,"3.39e-03",2.86,"Up"
"ARHGEF4","ENSG00000136002.21",5.003,"2.93e-12",34.46,"Up"
"LINC01748","ENSG00000226476.8",5.001,"2.06e-06",13.22,"Up"
"CST2","ENSG00000170369.4",4.96,"2.85e-08",7.58,"Up"
"LOC442041","ENSG00000230650.1",4.948,"4.20e-12",21.35,"Up"
"CCNP","ENSG00000105219.10",4.932,"3.06e-05",5.07,"Up"
"LY6K","ENSG00000160886.13",4.916,"2.04e-06",25.44,"Up"
"MYO3B","ENSG00000071909.19",4.912,"1.42e-12",43.44,"Up"
"LINC02240","ENSG00000260192.4",4.908,"1.02e-02",2.66,"Up"
"ANKRD33BP8","ENSG00000254558.1",4.899,"7.60e-03",2.64,"Up"
"SLC2A1","ENSG00000117394.24",4.889,"2.34e-18",1750.2,"Up"
"GJA3","ENSG00000121743.4",4.886,"1.60e-04",11,"Up"
"GJB5","ENSG00000189280.3",4.884,"2.67e-05",26.44,"Up"
"CXCL6","ENSG00000124875.10",4.871,"1.95e-06",161.84,"Up"
"MMP1","ENSG00000196611.6",4.867,"1.43e-11",543.04,"Up"
"COMP","ENSG00000105664.11",4.86,"1.46e-18",106.73,"Up"
"GJB2","ENSG00000165474.8",4.839,"1.33e-16",288.9,"Up"
"GNG4","ENSG00000168243.11",4.824,"2.47e-08",32.08,"Up"
"COL1A1","ENSG00000108821.14",4.806,"5.04e-29",8092.18,"Up"
"OTC","ENSG00000036473.9",-4.826,"2.70e-07",7.37,"Down"
"C8B","ENSG00000021852.14",-4.857,"3.61e-13",112.73,"Down"
"RS1","ENSG00000102104.9",-4.862,"3.59e-32",27.56,"Down"
"CHRNA2","ENSG00000120903.13",-4.892,"8.22e-10",3.45,"Down"
"HAS1","ENSG00000105509.11",-4.894,"3.44e-04",24.79,"Down"
"AGER","ENSG00000204305.16",-4.911,"1.49e-46",5038.53,"Down"
"PACRG-AS3","ENSG00000225683.6",-4.966,"1.37e-10",6.83,"Down"
"SFTPC","ENSG00000168484.13",-4.971,"1.41e-18",38093.46,"Down"
"GPM6A","ENSG00000150625.17",-5.171,"7.51e-56",296.35,"Down"
"C10orf67-AS1","ENSG00000224215.2",-5.203,"6.76e-31",32.75,"Down"
"TMEM100","ENSG00000166292.12",-5.205,"8.63e-56",1323.27,"Down"
"SERTM1","ENSG00000180440.4",-5.279,"1.32e-43",84.22,"Down"
"CHRM1","ENSG00000168539.4",-5.334,"2.96e-10",12.88,"Down"
"ANKRD1","ENSG00000148677.7",-5.352,"1.10e-21",323.38,"Down"
"OR6N1","ENSG00000197403.5",-5.356,"6.09e-08",3.82,"Down"
"WFDC12","ENSG00000168703.5",-5.434,"1.07e-11",11.32,"Down"
"HMGCS2","ENSG00000134240.12",-5.545,"2.13e-11",44.21,"Down"
"LOC101928372","ENSG00000198358.4",-5.558,"8.04e-19",17.11,"Down"
"MYO16-AS1","ENSG00000236242.1",-5.631,"2.27e-11",7.03,"Down"
"CA4","ENSG00000167434.10",-5.689,"1.56e-59",261.29,"Down"
"RPL13AP17","ENSG00000293158.1",-6.29,"3.04e-25",114.34,"Down"
"ITLN2","ENSG00000158764.7",-6.291,"1.09e-65",128.86,"Down"
"TAC1","ENSG00000006128.12",-6.348,"9.05e-04",11.55,"Down"
"CHRM2","ENSG00000181072.12",-6.477,"2.63e-15",18.83,"Down"
"OR6K3","ENSG00000203757.2",-6.626,"2.32e-09",11.37,"Down"
"ITLN1","ENSG00000179914.5",-6.83,"1.46e-10",172.87,"Down"
"LINC02016","ENSG00000244215.3",-7.12,"2.37e-23",15.94,"Down"
"SLC6A4","ENSG00000108576.10",-7.403,"2.83e-38",1388.77,"Down"
